Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
88,"Ricky Pearsall",WR,SFO,4527,38,25.5,22817,22040,17277
89,"Christian Watson",WR,GBP,4522,39,26.8,34456,33921,31269
90,"Travis Hunter",WR,JAC,4521,40,22.8,8213,9341,7346
91,"Kyle Monangai",RB,CHI,4489,26,23.8,6189,5162,4694
92,"Matthew Golden",WR,GBP,4444,41,22.6,10258,10010,7816
93,"Dak Prescott",QB,DAL,4438,16,32.6,18182,19126,18211
94,"Jayden Higgins",WR,HOU,4412,42,23.2,9255,8813,6224
95,"Parker Washington",WR,JAC,4409,43,24,12313,11380,11179
96,"D'Andre Swift",RB,CHI,4393,27,27.2,43699,46491,46960
97,"Davante Adams",WR,LAR,4385,44,33.2,37778,40072,53699
98,"Tyler Allgeier",RB,ARI,4375,28,25.9,24053,23707,24865
99,"Michael Pittman",WR,PIT,4371,45,28.4,40387,41615,39811
100,"David Montgomery",RB,HOU,4366,29,28.8,40202,39544,46068
101,"Isaiah Likely",TE,NYG,4356,11,25.9,24088,24338,22843
102,"Baker Mayfield",QB,TBB,4275,17,30.9,12021,11913,10963
103,"Xavier Worthy",WR,KCC,4188,46,22.9,21323,21910,20000
104,"Terry McLaurin",WR,WAS,4164,47,30.5,39824,40634,45423
105,"Josh Downs",WR,IND,4152,48,24.6,24525,24606,19801
106,"Quentin Johnston",WR,LAC,4139,49,24.5,20219,20935,18573
107,"Jakobi Meyers",WR,JAC,4135,50,29.4,31444,31511,27891
108,"Denzel Boston",WR,FA,4127,51,-1,774,1174,607
109,"Blake Corum",RB,LAR,4124,30,25.3,18039,17719,17050
110,"Chuba Hubbard",RB,CAR,4115,31,26.8,30518,29307,32172
111,"Dalton Kincaid",TE,BUF,4082,12,26.4,25895,27216,23801
112,"Mike Evans",WR,SFO,4077,52,32.6,35798,36398,47737
113,"Jake Ferguson",TE,DAL,4071,13,27.2,24743,24923,22108
114,"Jayden Reed",WR,GBP,4061,53,25.9,24496,24310,21938
115,"Jaylen Warren",RB,PIT,4058,32,27.4,24571,23123,25263
116,"Rico Dowdle",RB,PIT,4047,33,27.8,14829,14165,15293
117,"C.J. Stroud",QB,HOU,4003,18,24.4,11106,12330,9886
118,"Cam Ward",QB,TEN,3992,19,23.8,2579,3002,2158
119,"Omar Cooper Jr.",WR,FA,3990,54,-1,824,1045,487
120,"Courtland Sutton",WR,DEN,3981,55,30.4,35570,35775,36635
121,"George Kittle",TE,SFO,3963,14,32.4,38261,41060,50907
122,"Sam Darnold",QB,SEA,3917,20,28.8,9148,8636,8479
123,"Jalen Coker",WR,CAR,3878,56,24.4,10943,9676,8257
124,"Khalil Shakir",WR,BUF,3868,57,26.1,27637,27173,24560
125,"Jadarian Price",RB,FA,3850,34,-1,750,901,495
126,"Brenton Strange",TE,JAC,3823,15,25.2,14090,13472,12093
127,"Jalen McMillan",WR,TBB,3817,58,24.3,17637,17161,13757
128,"Jared Goff",QB,DET,3779,21,31.4,11651,11558,10847
129,"Kayshon Boutte",WR,NEP,3729,59,23.9,14415,14147,12525
130,"Troy Franklin",WR,DEN,3717,60,23.1,15217,15125,12925
131,"Rhamondre Stevenson",RB,NEP,3712,35,28.1,36059,35969,37071
132,"Rashid Shaheed",WR,SEA,3703,61,27.5,20740,20094,19734
133,"Kyler Murray",QB,MIN,3683,22,28.6,19620,21358,19205
134,"J.K. Dobbins",RB,DEN,3673,36,27.2,38722,39419,37745
135,"Jonah Coleman",RB,FA,3657,37,-1,624,1069,451
136,"Kenneth Gainwell",RB,TBB,3656,38,27,22948,22097,24137
137,"Trey Benson",RB,ARI,3639,39,23.6,21660,20987,14778
138,"Mason Taylor",TE,NYJ,3608,16,21.9,7257,7469,5040
139,"Jonathon Brooks",RB,CAR,3571,40,22.6,21235,21060,15960
140,"Woody Marks",RB,HOU,3564,41,25.2,6666,6030,5262
141,"Pat Bryant",WR,DEN,3562,62,23.3,5871,5142,4237
142,"Elic Ayomanor",WR,TEN,3559,63,22.8,7030,7007,5158
143,"Chris Godwin",WR,TBB,3538,64,30,40188,41512,44412
144,"Jacory Croskey-Merritt",RB,WAS,3530,42,24.9,7149,6274,5532
145,"Bryce Young",QB,CAR,3529,23,24.6,8765,9160,7177
146,"Jauan Jennings",WR,SFO,3528,65,28.7,16300,15808,17922
147,"Daniel Jones",QB,IND,3522,24,28.8,11943,11946,9944
148,"Jaylin Noel",WR,HOU,3516,66,23.5,7075,6637,5367
149,"Isaac TeSlaa",WR,DET,3506,67,24.1,5314,4645,4002
150,"Tre Harris",WR,LAC,3502,68,24,8597,9001,6297
151,"AJ Barner",TE,SEA,3496,17,23.9,8308,7511,6229
152,"Braelon Allen",RB,NYJ,3488,43,22.2,17577,17586,14242
153,"Chimere Dike",WR,TEN,3484,69,24.2,4788,3864,3268
154,"Terrance Ferguson",TE,LAR,3464,18,23,6717,6862,4840
155,"Matthew Stafford",QB,LAR,3453,25,38.1,12380,12868,12812
156,"Tory Horton",WR,SEA,3441,70,23.3,5767,5479,4110
157,"Jordan Mason",RB,MIN,3422,44,26.8,18813,18103,19139
158,"Rachaad White",RB,WAS,3418,45,27.2,29605,29415,29458
159,"Kyle Williams",WR,NEP,3403,71,23.3,5812,5382,4000
160,"Dylan Sampson",RB,CLE,3391,46,21.5,7566,7652,6260
161,"Tyjae Spears",RB,TEN,3384,47,24.8,23742,23242,20782
162,"T.J. Hockenson",TE,MIN,3366,19,28.7,40572,43059,37650
163,"David Njoku",TE,FA,3344,20,29.7,29310,30751,29934
164,"Tony Pollard",RB,TEN,3344,48,28.9,35661,36032,40311
165,"Jerry Jeudy",WR,CLE,3306,72,26.9,37662,38438,36975
166,"Adonai Mitchell",WR,NYJ,3302,73,23.4,19675,19876,15943
167,"Mark Andrews",TE,BAL,3292,21,30.5,37118,39688,42581
168,"Ollie Gordon",RB,MIA,3281,49,22.2,6365,6428,5403
169,"Brandon Aiyuk",WR,SFO,3270,74,28,39748,41431,39427
170,"Tyrone Tracy",RB,NYG,3256,50,26.3,15839,14938,14720
171,"Eli Stowers",TE,FA,3255,22,-1,576,462,209
172,"Elijah Arroyo",TE,SEA,3247,23,23,7357,7591,5720
173,"Dallas Goedert",TE,PHI,3244,24,31.2,32634,34116,35933
174,"Marvin Mims",WR,DEN,3231,75,24,18608,18365,16390
175,"Chigoziem Okonkwo",TE,WAS,3209,25,26.5,16768,16347,16047
176,"Sean Tucker",RB,TBB,3192,51,24.4,13060,13053,12154
177,"Kaleb Johnson",RB,PIT,3176,52,22.6,9271,9958,6972
178,"Kimani Vidal",RB,LAC,3159,53,24.6,11562,10737,9639
179,"Nicholas Singleton",RB,FA,3155,54,-1,483,1000,368
180,"Michael Penix Jr.",QB,ATL,3154,26,25.9,5446,5371,4467
181,"Keon Coleman",WR,BUF,3139,76,22.8,21621,22042,17058
182,"Tre Tucker",WR,LVR,3118,77,25,12195,11600,11847
183,"Ty Simpson",QB,FA,3118,27,-1,143,241,115
184,"Tank Dell",WR,HOU,3068,78,26.4,23088,22868,20726
185,"Deebo Samuel",WR,WAS,3062,79,30.2,37164,39103,48315
186,"Jack Bech",WR,LVR,3050,80,23.2,6633,6540,5020
187,"Tez Johnson",WR,TBB,3042,81,23.8,4702,4409,3667
188,"J.J. McCarthy",QB,MIN,3041,28,23.2,6103,6393,4995
189,"Keaton Mitchell",RB,LAC,3040,55,24.2,14597,13773,12769
190,"Gunnar Helm",TE,TEN,3034,26,23.5,4525,4389,2971
191,"Elijah Sarratt",WR,FA,3024,82,-1,629,933,356
192,"Tank Bigsby",RB,PHI,3020,56,24.6,19016,19289,17977
193,"Theo Johnson",TE,NYG,3014,27,25,12338,11962,9486
194,"Devin Neal",RB,NOS,2971,57,22.6,6276,6467,5472
195,"Emmett Johnson",RB,FA,2945,58,-1,552,701,326
196,"Tyler Shough",QB,NOS,2944,29,26.5,1738,1368,1250
197,"Stefon Diggs",WR,FA,2939,83,32.3,37296,40094,47076
198,"Isaiah Bond",WR,CLE,2920,84,22,5575,5732,3821
199,"Travis Kelce",TE,KCC,2904,28,36.4,32547,35042,49095
200,"Cade Otton",TE,TBB,2901,29,26.9,20180,20639,19843
201,"Dontayvion Wicks",WR,GBP,2889,85,24.8,15608,15126,14158
202,"Juwan Johnson",TE,NOS,2882,30,29.5,14452,14254,15592
203,"Jaylen Wright",RB,MIA,2878,59,23,15496,14892,12540
204,"Isiah Pacheco",RB,DET,2877,60,27,27992,27496,28519
205,"Mike Washington Jr.",RB,FA,2862,61,-1,512,639,315
206,"Zachariah Branch",WR,FA,2830,86,-1,462,865,359
207,"Chris Brazzell II",WR,FA,2821,87,-1,451,706,315
208,"Brian Robinson",RB,SFO,2810,62,27,31653,31255,28766
209,"Hunter Henry",TE,NEP,2802,31,31.3,21481,22048,23725
210,"Malik Willis",QB,MIA,2801,30,26.8,7396,7541,6199
211,"Michael Mayer",TE,LVR,2792,32,24.7,16156,16989,16251
212,"Brashard Smith",RB,KCC,2756,63,22.9,5094,4557,3655
213,"Tyreek Hill",WR,FA,2746,88,32,37600,41138,53242
214,"Jake Tonges",TE,SFO,2743,33,26.7,2319,1587,1984
215,"Dalton Schultz",TE,HOU,2727,34,29.7,26030,26846,28796
216,"Kendre Miller",RB,NOS,2715,64,23.8,18476,18246,14876
217,"Malik Washington",WR,MIA,2713,89,25.2,10564,9879,8718
218,"Demario Douglas",WR,NEP,2701,90,25.3,15532,15006,13905
219,"Alvin Kamara",RB,NOS,2681,65,30.6,37601,38188,50521
220,"Chris Rodriguez",RB,JAC,2676,66,25.5,10393,9543,10213
221,"Cedric Tillman",WR,CLE,2655,91,25.9,15240,14918,13617
222,"Xavier Legette",WR,CAR,2633,92,25.1,20480,20843,17219
223,"Malachi Fields",WR,FA,2618,93,-1,363,948,315
224,"Trevor Etienne",RB,CAR,2611,67,21.7,5871,6015,5470
225,"Rashod Bateman",WR,BAL,2600,94,26.3,34611,35236,31886
226,"Emanuel Wilson",RB,SEA,2595,68,26.9,8863,8344,8488
227,"Pat Freiermuth",TE,PIT,2591,35,27.4,33036,34823,32814
228,"Chris Bell",WR,FA,2586,95,-1,435,792,311
229,"Kaytron Allen",RB,FA,2582,69,-1,508,726,277
230,"Dont'e Thornton",WR,LVR,2563,96,23.3,4412,3686,3204
231,"Jaydon Blue",RB,DAL,2553,70,22.2,6338,6103,4824
232,"Jalen Nailor",WR,LVR,2541,97,27,9301,8752,9720
233,"Ja'Tavion Sanders",TE,CAR,2526,36,23,13353,13875,11353
234,"DJ Giddens",RB,IND,2525,71,22.6,5516,5218,4378
235,"Colby Parkinson",TE,LAR,2523,37,27.2,13137,12712,13519
236,"Darnell Mooney",WR,NYG,2511,98,28.4,32092,32569,31956
237,"James Conner",RB,ARI,2500,72,30.9,30830,31126,38082
238,"LeQuint Allen",RB,JAC,2495,73,21.6,3952,3613,2631
239,"Cole Kmet",TE,CHI,2476,38,27,27192,28368,27308
240,"Isaiah Davis",RB,NYJ,2454,74,24.1,8565,8023,7464
241,"Aaron Jones",RB,MIN,2446,75,31.3,33939,34477,44756
242,"Germie Bernard",WR,FA,2446,99,-1,443,597,284
243,"Ray Davis",RB,BUF,2442,76,26.4,13747,13185,11775
244,"Jaylin Lane",WR,WAS,2411,100,23.9,4425,3779,3036
245,"Ja'Kobi Lane",WR,FA,2406,101,-1,335,570,333
246,"Jalen Milroe",QB,SEA,2405,31,23.3,1599,2109,1404
247,"Ben Sinnott",TE,WAS,2386,39,23.8,14228,14561,11049
248,"Christian Kirk",WR,SFO,2371,102,29.3,32446,32893,31392
249,"Trinidad Chambliss",QB,FA,2369,32,-1,85,178,82
250,"Ryan Flournoy",WR,DAL,2346,103,26.4,5673,5062,4518
251,"Darnell Washington",TE,PIT,2303,40,24.6,11139,11417,11080
252,"Mac Jones",QB,SFO,2278,33,27.5,10212,10793,9735
253,"Tua Tagovailoa",QB,ATL,2277,34,28,16276,17202,15936
254,"Najee Harris",RB,LAC,2271,77,28,39523,42993,45080
255,"Marquise Brown",WR,KCC,2267,104,28.8,35828,36345,35828
256,"Shedeur Sanders",QB,CLE,2243,35,24.1,1519,2163,1366
257,"Luke Musgrave",TE,GBP,2235,41,25.5,15530,16064,14968
258,"Jalen Royals",WR,KCC,2228,105,23.1,5683,5767,4507
259,"Jordan James",RB,SFO,2218,78,22,4825,4956,3825
260,"Luke McCaffrey",WR,WAS,2215,106,25,12343,12388,11364
261,"Tyquan Thornton",WR,KCC,2209,107,25.6,15165,14628,14341
262,"Justin Fields",QB,KCC,2208,36,27,16157,17794,14641
263,"Anthony Richardson",QB,IND,2208,37,23.8,11184,11772,9774
264,"Xavier Hutchinson",WR,HOU,2195,108,25.8,10522,10600,10382
265,"John Metchie",WR,CAR,2190,109,25.7,19150,19026,17442
266,"Evan Engram",TE,DEN,2138,42,31.5,27451,28975,29348
267,"MarShawn Lloyd",RB,GBP,2132,79,25.2,13260,13061,10976
268,"Jarquez Hunter",RB,LAR,2119,80,23.2,4967,4704,3958
269,"Tahj Brooks",RB,CIN,2094,81,23.8,3877,3577,3374
270,"Audric Estime",RB,NOS,2079,82,22.5,12058,11957,10852
271,"Roman Wilson",WR,PIT,2077,110,24.7,12838,13070,11399
