Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
95,"Trey Benson",RB,ARI,5314,29,23.8,247,215,192
96,"Ricky Pearsall",WR,SFO,5287,39,25.6,248,209,201
97,"Quentin Johnston",WR,LAC,5266,40,24.6,268,277,296
98,"DK Metcalf",WR,PIT,5240,41,28.4,539,626,670
99,"Matthew Golden",WR,GBP,5190,42,22.8,115,100,65
100,"KC Concepcion",WR,CLE,5134,43,21.6,8,4,2
101,"Jayden Reed",WR,GBP,5081,44,26,149,152,146
102,"Trevor Lawrence",QB,JAC,5064,17,26.6,502,421,411
103,"Courtland Sutton",WR,DEN,5056,45,30.6,449,452,485
104,"Jonah Coleman",RB,DEN,5035,30,-1,6,8,4
105,"Jauan Jennings",WR,SFO,5018,46,28.8,66,57,86
106,"Matthew Stafford",QB,LAR,5001,18,38.2,373,456,414
107,"Jayden Higgins",WR,HOU,4996,47,23.4,85,65,56
108,"Jadarian Price",RB,SEA,4984,31,22.6,11,1,2
109,"Jakobi Meyers",WR,JAC,4980,48,29.5,446,365,348
110,"Jacory Croskey-Merritt",RB,WAS,4933,32,25,52,57,48
111,"Daniel Jones",QB,IND,4912,19,28.9,404,335,319
112,"C.J. Stroud",QB,HOU,4901,20,24.6,404,372,291
113,"Blake Corum",RB,LAR,4862,33,25.4,202,160,156
114,"Travis Kelce",TE,KCC,4854,13,36.6,600,735,787
115,"Romeo Doubs",WR,NEP,4846,49,26,332,279,347
116,"Sam Darnold",QB,SEA,4806,21,28.9,185,197,184
117,"J.K. Dobbins",RB,DEN,4785,34,27.4,474,517,454
118,"Omar Cooper Jr.",WR,NYJ,4766,50,22.4,5,4,4
119,"Troy Franklin",WR,DEN,4751,51,23.2,158,166,154
120,"Khalil Shakir",WR,BUF,4750,52,26.2,364,311,390
121,"Tyler Allgeier",RB,ARI,4746,35,26,305,249,344
122,"Tyrone Tracy",RB,NYG,4741,36,26.4,97,112,91
123,"Rhamondre Stevenson",RB,NEP,4731,37,28.2,523,341,427
124,"Rashid Shaheed",WR,SEA,4729,53,27.7,137,138,170
125,"Nicholas Singleton",RB,TEN,4669,38,-1,4,7,3
126,"Josh Downs",WR,IND,4653,54,24.7,307,305,279
127,"Deebo Samuel",WR,WAS,4645,55,30.3,621,480,623
128,"Brandon Aiyuk",WR,SFO,4607,56,28.1,556,525,596
129,"Christian Watson",WR,GBP,4594,57,27,388,311,306
130,"Alvin Kamara",RB,NOS,4587,39,30.8,588,811,659
131,"Jordan Mason",RB,MIN,4576,40,26.9,295,228,237
132,"Alec Pierce",WR,IND,4547,58,26,288,234,312
133,"Cam Ward",QB,TEN,4536,22,23.9,94,61,57
134,"Dallas Goedert",TE,PHI,4501,14,31.3,443,367,530
135,"Elic Ayomanor",WR,TEN,4496,59,22.9,81,54,55
136,"Kayshon Boutte",WR,NEP,4489,60,24,199,194,139
137,"Chris Godwin",WR,TBB,4434,61,30.2,470,500,588
138,"T.J. Hockenson",TE,MIN,4425,15,28.8,494,535,612
139,"Juwan Johnson",TE,NOS,4388,16,29.6,164,79,118
140,"J.J. McCarthy",QB,MIN,4381,23,23.3,166,164,88
141,"Tony Pollard",RB,TEN,4312,42,29,525,440,533
142,"Tory Horton",WR,SEA,4295,62,23.4,52,32,33
143,"Mike Evans",WR,SFO,4278,63,32.7,505,556,615
144,"Zachariah Branch",WR,ATL,4255,64,-1,5,5,4
145,"Isaiah Likely",TE,NYG,4247,17,26,428,359,414
146,"Kyler Murray",QB,MIN,4237,24,28.7,493,641,550
147,"Mark Andrews",TE,BAL,4207,18,30.6,550,472,576
148,"Keon Coleman",WR,BUF,4206,65,23,238,228,205
149,"Jerry Jeudy",WR,CLE,4165,66,27,503,381,511
150,"Rachaad White",RB,WAS,4156,43,27.3,368,337,431
151,"Keenan Allen",WR,LAC,4145,67,34,416,499,422
152,"Mason Taylor",TE,NYJ,4136,19,22,68,44,52
153,"Kenneth Gainwell",RB,TBB,4129,44,27.1,441,277,409
154,"Stefon Diggs",WR,FA,4128,68,32.4,588,606,655
155,"Hunter Henry",TE,NEP,4078,20,31.4,344,296,347
156,"Malachi Fields",WR,NYG,4075,69,-1,1,8,5
157,"Michael Penix Jr.",QB,ATL,4047,25,26,164,160,112
