Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
157,"Chigoziem Okonkwo",TE,WAS,2813,19,26.6,24797,24010,23137
158,"Pat Bryant",WR,DEN,2785,67,23.3,6139,5585,4575
159,"Mark Andrews",TE,BAL,2784,20,30.6,55131,58400,63593
160,"Jonah Coleman",RB,FA,2769,41,-1,786,1325,536
161,"Jauan Jennings",WR,SFO,2767,68,28.8,21191,20621,22484
162,"T.J. Hockenson",TE,MIN,2766,21,28.8,61101,62369,56323
163,"Jacoby Brissett",QB,ARI,2758,33,33.3,20090,19339,16567
164,"Braelon Allen",RB,NYJ,2751,42,22.2,18111,18547,14905
165,"Tua Tagovailoa",QB,ATL,2745,34,28.1,61862,62598,52006
166,"Adonai Mitchell",WR,NYJ,2744,69,23.5,20066,20498,16286
167,"Dylan Sampson",RB,CLE,2742,43,21.6,7819,7986,6467
168,"Jerry Jeudy",WR,CLE,2741,70,27,53678,54285,53686
169,"Trey Benson",RB,ARI,2724,44,23.7,23582,24291,17036
170,"Tory Horton",WR,SEA,2713,71,23.4,6304,6141,4472
171,"Jordan Mason",RB,MIN,2697,45,26.9,22619,22298,23014
172,"Chimere Dike",WR,TEN,2691,72,24.3,5064,4243,3682
173,"Rachaad White",RB,WAS,2689,46,27.2,42295,43327,42043
174,"Tony Pollard",RB,TEN,2676,47,28.9,48098,49262,54122
175,"David Njoku",TE,FA,2675,22,29.8,39342,39690,38527
176,"Tyjae Spears",RB,TEN,2668,48,24.8,30474,30810,26155
177,"Kyle Williams",WR,NEP,2638,73,23.4,6209,5823,4472
178,"Eli Stowers",TE,FA,2636,23,-1,759,637,261
179,"Dallas Goedert",TE,PHI,2599,24,31.3,46668,47216,49988
180,"Tyrone Tracy",RB,NYG,2599,49,26.4,17014,16570,15942
181,"Anthony Richardson",QB,IND,2565,35,23.9,42985,47557,37717
182,"Gunnar Helm",TE,TEN,2562,25,23.6,4990,4898,3461
183,"Keon Coleman",WR,BUF,2557,74,22.9,25070,25635,20488
184,"Brandon Aiyuk",WR,SFO,2546,75,28.1,57390,59606,58818
185,"Kimani Vidal",RB,LAC,2529,50,24.6,12260,11662,10587
186,"Ollie Gordon",RB,MIA,2522,51,22.2,7240,7477,6036
187,"Tank Bigsby",RB,PHI,2520,52,24.6,25568,26029,23622
188,"Elijah Arroyo",TE,SEA,2513,26,23,7433,7630,5660
189,"Tank Dell",WR,HOU,2512,76,26.4,32199,32186,28488
190,"Keaton Mitchell",RB,LAC,2507,53,24.2,19371,18991,16511
191,"Travis Kelce",TE,KCC,2490,27,36.5,47602,50353,71195
192,"Malik Washington",WR,MIA,2489,77,25.3,11933,11395,9932
193,"Sean Tucker",RB,TBB,2483,54,24.4,18588,18695,16821
194,"Cade Otton",TE,TBB,2472,28,27,26759,26396,25393
195,"Deebo Samuel",WR,WAS,2470,78,30.2,53458,56843,69094
196,"Jalen Milroe",QB,SEA,2469,36,23.3,7676,8308,5810
197,"Theo Johnson",TE,NYG,2460,29,25.1,13670,13334,10621
198,"Tre Tucker",WR,LVR,2454,79,25.1,15898,15407,14569
199,"Nicholas Singleton",RB,FA,2446,55,-1,642,1186,469
200,"Juwan Johnson",TE,NOS,2435,30,29.6,20956,20371,22242
201,"Elijah Sarratt",WR,FA,2434,80,-1,785,1057,410
202,"Jack Bech",WR,LVR,2433,81,23.3,7619,7627,5710
203,"Jake Tonges",TE,SFO,2392,31,26.8,2650,1905,2265
204,"Kaleb Johnson",RB,PIT,2382,56,22.6,10640,11548,8157
205,"Marvin Mims",WR,DEN,2377,82,24,25501,25493,21706
206,"Isiah Pacheco",RB,DET,2373,57,27.1,40731,41030,41105
207,"Jaylen Wright",RB,MIA,2360,58,23,16335,16260,13288
208,"Dontayvion Wicks",WR,GBP,2357,83,24.8,20826,20542,18006
209,"Jalen Nailor",WR,LVR,2349,84,27.1,12186,11652,12282
210,"Michael Mayer",TE,LVR,2317,32,24.8,25553,26153,23170
211,"Justin Fields",QB,KCC,2316,37,27.1,59457,66139,52827
212,"Chris Rodriguez",RB,JAC,2314,59,25.5,14469,13858,14029
213,"Hunter Henry",TE,NEP,2313,33,31.3,28903,29062,31565
214,"Dalton Schultz",TE,HOU,2307,34,29.7,36421,36518,39187
215,"Mike Washington Jr.",RB,FA,2301,60,-1,691,783,376
216,"Brian Robinson",RB,ATL,2298,61,27,41202,41759,37813
217,"Tez Johnson",WR,TBB,2290,85,23.9,5539,5322,4147
218,"Isaiah Bond",WR,CLE,2289,86,22.1,6424,6710,4534
219,"Devin Neal",RB,NOS,2281,62,22.6,6803,7233,5873
220,"Tyreek Hill",WR,FA,2242,87,32.1,55001,62176,79039
221,"Pat Freiermuth",TE,PIT,2222,35,27.4,46892,47564,45237
222,"Emanuel Wilson",RB,SEA,2219,63,26.9,9516,9117,9149
223,"Stefon Diggs",WR,FA,2188,88,32.4,52521,57573,68104
224,"Chris Brazzell II",WR,FA,2184,89,-1,657,907,393
225,"Dont'e Thornton",WR,LVR,2169,90,23.4,4952,4271,3630
226,"James Conner",RB,ARI,2156,64,30.9,40421,41339,49723
227,"Geno Smith",QB,NYJ,2152,38,35.5,37036,36904,37533
228,"Colby Parkinson",TE,LAR,2150,36,27.2,15483,15067,16103
229,"Brashard Smith",RB,KCC,2150,65,23,5506,5135,4098
230,"Emmett Johnson",RB,FA,2150,66,-1,707,890,441
231,"Demario Douglas",WR,NEP,2138,91,25.3,19809,19463,17033
232,"LeQuint Allen",RB,JAC,2134,67,21.7,4341,4126,3064
233,"Cedric Tillman",WR,CLE,2133,92,26,20327,20264,17583
234,"Darnell Mooney",WR,NYG,2130,93,28.4,42044,42850,42221
235,"DJ Giddens",RB,IND,2128,68,22.6,5971,5735,4675
236,"Trevor Etienne",RB,CAR,2127,69,21.8,6619,6735,6120
237,"Xavier Legette",WR,CAR,2125,94,25.2,21236,21808,17843
238,"Rashod Bateman",WR,BAL,2122,95,26.4,47331,48419,43727
239,"Ja'Tavion Sanders",TE,CAR,2122,37,23,15152,15386,12454
240,"Aaron Jones",RB,MIN,2110,70,31.4,46526,47802,61876
241,"Alvin Kamara",RB,NOS,2107,71,30.7,48647,51476,66360
242,"Will Howard",QB,PIT,2102,39,24.5,5505,5845,4228
243,"Zachariah Branch",WR,FA,2097,96,-1,594,1032,442
244,"Christian Kirk",WR,SFO,2087,97,29.4,46930,47542,46091
245,"Garrett Nussmeier",QB,FA,2068,40,-1,581,508,378
246,"Cole Kmet",TE,CHI,2032,38,27.1,39347,39622,38062
247,"Jaydon Blue",RB,DAL,2030,72,22.2,6648,6618,5229
248,"Trinidad Chambliss",QB,FA,2029,41,-1,674,936,467
249,"Jordan James",RB,SFO,1990,73,22,5500,5776,4439
