Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
95,"Luther Burden",WR,CHI,4952,39,22.4,39,13,18
96,"Mike Evans",WR,SFO,4951,40,32.7,161,195,235
97,"Jerry Jeudy",WR,CLE,4950,41,27,234,134,241
98,"D'Andre Swift",RB,CHI,4928,26,27.3,263,232,279
99,"Calvin Ridley",WR,TEN,4889,42,31.4,30,199,77
100,"Khalil Shakir",WR,BUF,4850,43,26.2,110,65,124
101,"Javonte Williams",RB,DAL,4844,27,26,236,181,181
102,"Kaleb Johnson",RB,PIT,4830,28,22.7,34,18,17
103,"Michael Pittman",WR,PIT,4808,44,28.6,276,125,198
104,"T.J. Hockenson",TE,MIN,4793,8,28.8,186,210,274
105,"Denzel Boston",WR,CLE,4778,45,-1,3,1,1
106,"David Njoku",TE,FA,4766,9,29.8,195,71,163
107,"Cam Skattebo",RB,NYG,4748,29,24.2,51,35,48
108,"Tony Pollard",RB,TEN,4700,30,29,247,165,205
109,"Tua Tagovailoa",QB,ATL,4690,25,28.2,214,137,151
110,"Tyreek Hill",WR,FA,4688,46,32.2,218,365,343
111,"Kyle Pitts",TE,ATL,4637,10,25.6,277,176,235
112,"Jayden Higgins",WR,HOU,4619,47,23.4,17,12,12
113,"James Conner",RB,ARI,4564,31,31,225,161,177
114,"Jakobi Meyers",WR,JAC,4557,48,29.5,190,116,146
115,"David Montgomery",RB,HOU,4535,32,28.9,187,233,222
116,"Keon Coleman",WR,BUF,4522,49,23,70,53,54
117,"Jake Ferguson",TE,DAL,4507,11,27.3,53,65,50
118,"Trey Benson",RB,ARI,4485,33,23.8,67,44,37
119,"Isiah Pacheco",RB,DET,4440,34,27.2,155,120,114
120,"Jordan Mason",RB,MIN,4440,35,26.9,70,41,39
121,"Tyrone Tracy",RB,NYG,4428,36,26.4,18,28,20
122,"Kenyon Sadiq",TE,NYJ,4412,12,21.2,2,,5
123,"Jacory Croskey-Merritt",RB,WAS,4400,37,25,7,12,11
124,"KC Concepcion",WR,CLE,4392,50,21.6,6,2,1
125,"Sam Darnold",QB,SEA,4375,26,28.9,116,80,101
126,"Justin Fields",QB,KCC,4338,27,27.2,191,143,122
127,"Dalton Kincaid",TE,BUF,4310,13,26.5,118,70,82
128,"J.K. Dobbins",RB,DEN,4290,38,27.4,176,224,180
129,"Jonah Coleman",RB,DEN,4288,39,-1,1,2,
130,"Daniel Jones",QB,IND,4285,28,28.9,140,103,94
131,"Wan'Dale Robinson",WR,TEN,4224,51,25.3,104,62,79
132,"Travis Kelce",TE,KCC,4214,14,36.6,220,392,378
133,"Stefon Diggs",WR,FA,4195,52,32.4,270,296,290
134,"Jayden Reed",WR,GBP,4133,53,26,40,55,55
135,"Josh Downs",WR,IND,4125,54,24.7,95,81,83
136,"Matthew Stafford",QB,LAR,4123,29,38.2,136,127,165
137,"Deebo Samuel",WR,WAS,4114,55,30.3,280,176,226
138,"Nicholas Singleton",RB,TEN,4069,40,-1,2,2,2
139,"Aaron Jones",RB,MIN,4039,41,31.4,134,309,239
140,"Omar Cooper Jr.",WR,NYJ,4024,56,22.4,4,2,3
141,"Tre Harris",WR,LAC,4013,57,24.2,32,15,23
142,"Jauan Jennings",WR,SFO,3965,58,28.8,5,11,15
143,"Rashid Shaheed",WR,SEA,3935,59,27.7,27,38,44
144,"Ollie Gordon",RB,MIA,3906,42,22.3,15,14,16
145,"Chris Godwin",WR,TBB,3899,60,30.2,161,197,271
146,"Brandon Aiyuk",WR,SFO,3891,61,28.1,240,224,273
147,"Keenan Allen",WR,LAC,3797,62,34,111,204,187
148,"Tank Bigsby",RB,PHI,3776,43,24.7,78,57,76
149,"Mark Andrews",TE,BAL,3772,15,30.6,222,179,245
150,"Dylan Sampson",RB,CLE,3757,44,21.6,14,13,15
151,"Troy Franklin",WR,DEN,3751,63,23.2,45,58,33
152,"Rhamondre Stevenson",RB,NEP,3739,45,28.2,208,85,124
153,"Malachi Fields",WR,NYG,3735,64,-1,1,2,2
154,"Cade Otton",TE,TBB,3691,16,27,66,42,37
155,"Braelon Allen",RB,NYJ,3679,46,22.3,52,52,60
156,"Jadarian Price",RB,SEA,3673,47,22.6,3,,1
157,"Christian Watson",WR,GBP,3651,65,27,122,77,98
158,"Nick Chubb",RB,HOU,3624,48,30.3,176,345,257
159,"Cedric Tillman",WR,CLE,3621,66,26,101,68,66
160,"Tory Horton",WR,SEA,3579,67,23.4,14,3,7
161,"Dallas Goedert",TE,PHI,3569,17,31.3,204,156,228
162,"Isaiah Likely",TE,NYG,3548,18,26,144,98,109
163,"Mason Taylor",TE,NYJ,3537,19,22,17,9,10
164,"Harold Fannin",TE,CLE,3534,20,21.8,23,4,8
165,"Evan Engram",TE,DEN,3528,21,31.7,168,179,184
166,"Elic Ayomanor",WR,TEN,3526,68,22.9,20,7,13
167,"Zachariah Branch",WR,ATL,3518,69,-1,3,1,2
