Rank,Player,Position,Team,Value,PositionRank,Trend30Day,RedraftValue,Tier
1,Bijan Robinson,RB,ATL,10504,1,-17,10504,1
2,Jahmyr Gibbs,RB,DET,10438,2,71,10438,1
3,Ja'Marr Chase,WR,CIN,10035,1,230,10035,1
4,Puka Nacua,WR,LAR,9002,2,-187,9002,2
5,Jaxon Smith-Njigba,WR,SEA,8905,3,-34,8905,2
6,Justin Jefferson,WR,MIN,8694,4,-151,8694,3
7,Amon-Ra St. Brown,WR,DET,8354,5,65,8354,4
8,CeeDee Lamb,WR,DAL,8284,6,143,8284,5
9,Jonathan Taylor,RB,IND,8222,3,-146,8222,5
10,Ashton Jeanty,RB,LV,8120,4,303,8120,6
11,De'Von Achane,RB,MIA,8038,5,-55,8038,6
12,Jeremiyah Love,RB,FA,7846,6,408,7846,7
13,James Cook,RB,BUF,7619,7,-43,7619,8
14,Christian McCaffrey,RB,SF,7506,8,-129,7506,8
15,Omarion Hampton,RB,LAC,7262,9,135,7262,9
16,Trey McBride,TE,ARI,7222,1,94,7222,9
17,Saquon Barkley,RB,PHI,7007,10,276,7007,10
18,Malik Nabers,WR,NYG,6434,7,4,6434,11
19,Josh Allen,QB,BUF,6224,1,-180,6224,12
20,Kenneth Walker,RB,KC,6145,11,-44,6145,13
21,Drake London,WR,ATL,5892,8,-169,5892,14
22,Brock Bowers,TE,LV,5829,2,337,5829,14
23,Chase Brown,RB,CIN,5437,12,-67,5437,15
24,Derrick Henry,RB,BAL,5422,13,-379,5422,15
25,Josh Jacobs,RB,GB,5239,14,-296,5239,16
26,Breece Hall,RB,NYJ,5138,15,1,5138,16
27,Nico Collins,WR,HOU,4896,9,-561,4896,17
28,Garrett Wilson,WR,NYJ,4611,10,36,4611,18
29,TreVeyon Henderson,RB,NE,4569,16,100,4569,18
30,George Pickens,WR,DAL,4541,11,-107,4541,18
31,Travis Etienne,RB,NO,4540,17,-227,4540,18
32,Kyren Williams,RB,LAR,4509,18,23,4509,18
33,Chris Olave,WR,NO,4414,12,32,4414,19
34,A.J. Brown,WR,PHI,4410,13,126,4410,19
35,Tetairoa McMillan,WR,CAR,4288,14,-140,4288,19
36,Bucky Irving,RB,TB,4076,19,-282,4076,20
37,Quinshon Judkins,RB,CLE,4069,20,200,4069,20
38,Rashee Rice,WR,KC,4020,15,338,4020,20
39,Javonte Williams,RB,DAL,3866,21,-457,3866,21
40,Emeka Egbuka,WR,TB,3757,16,130,3757,21
41,Lamar Jackson,QB,BAL,3658,2,-273,3658,22
42,DeVonta Smith,WR,PHI,3593,17,610,3593,22
43,Joe Burrow,QB,CIN,3336,3,131,3336,23
44,Drake Maye,QB,NE,3333,4,-134,3333,23
45,Tee Higgins,WR,CIN,3236,18,-299,3236,23
46,Ladd McConkey,WR,LAC,3055,19,-138,3055,24
47,Jayden Daniels,QB,WAS,3021,5,193,3021,24
48,Tyler Warren,TE,IND,2998,3,265,2998,24
49,Jaylen Waddle,WR,DEN,2998,20,-852,2998,24
50,Cam Skattebo,RB,NYG,2857,22,21,2857,25
51,Rome Odunze,WR,CHI,2845,21,239,2845,25
52,Zay Flowers,WR,BAL,2805,22,142,2805,25
53,Patrick Mahomes,QB,KC,2768,6,140,2768,26
54,Davante Adams,WR,LAR,2741,23,-341,2741,26
55,David Montgomery,RB,HOU,2615,23,-330,2615,26
56,Colston Loveland,TE,CHI,2484,4,57,2484,27
57,Carnell Tate,WR,FA,2442,24,-271,2442,27
58,Mike Evans,WR,SF,2422,25,-53,2422,27
