Rank,Player,Position,Team,Value,PositionRank,Trend30Day,RedraftValue,Tier
1,Josh Allen,QB,BUF,10574,1,250,10414,1
2,Bijan Robinson,RB,ATL,10133,1,28,9745,2
3,Ja'Marr Chase,WR,CIN,9662,1,-42,9393,3
4,Jahmyr Gibbs,RB,DET,9538,2,504,9271,3
5,Jaxon Smith-Njigba,WR,SEA,9445,2,-54,8166,3
6,Drake Maye,QB,NE,8870,2,-187,9133,4
7,Puka Nacua,WR,LAR,8559,3,-1016,7804,4
8,Jayden Daniels,QB,WAS,7489,3,271,8495,5
9,Amon-Ra St. Brown,WR,DET,7486,4,340,7605,5
10,Malik Nabers,WR,NYG,7483,5,83,5699,5
11,Lamar Jackson,QB,BAL,7440,4,118,9603,5
12,Brock Bowers,TE,LV,7400,1,285,5946,5
13,Trey McBride,TE,ARI,7242,2,399,7066,6
14,Justin Jefferson,WR,MIN,7212,6,421,7472,6
15,Jeremiyah Love,RB,FA,7008,3,448,5911,6
16,Ashton Jeanty,RB,LV,6976,4,479,6122,6
17,Caleb Williams,QB,CHI,6903,5,102,7479,7
18,Joe Burrow,QB,CIN,6812,6,5,8981,7
19,CeeDee Lamb,WR,DAL,6755,7,179,7018,7
20,De'Von Achane,RB,MIA,6022,5,12,6333,8
21,Omarion Hampton,RB,LAC,5929,6,145,5270,8
22,Drake London,WR,ATL,5876,8,-14,5051,8
23,Justin Herbert,QB,LAC,5875,7,-144,7431,8
24,Patrick Mahomes,QB,KC,5766,8,56,8085,9
25,Jalen Hurts,QB,PHI,5721,9,-28,7061,9
26,Jaxson Dart,QB,NYG,5586,10,142,5649,9
27,Tetairoa McMillan,WR,CAR,5330,9,344,3531,10
28,Colston Loveland,TE,CHI,5122,3,375,2688,11
29,James Cook,RB,BUF,5116,7,100,6221,11
30,Bo Nix,QB,DEN,5036,11,9,6025,12
31,Jonathan Taylor,RB,IND,5007,8,-341,6377,12
32,Trevor Lawrence,QB,JAX,4828,12,-24,5806,13
33,George Pickens,WR,DAL,4740,10,-61,3837,13
34,Brock Purdy,QB,SF,4672,13,-140,5436,13
35,Emeka Egbuka,WR,TB,4506,11,219,2753,13
36,Tyler Warren,TE,IND,4489,4,219,2814,13
37,Makai Lemon,WR,FA,4362,12,-273,1942,14
38,Nico Collins,WR,HOU,4325,13,-242,4085,14
39,Carnell Tate,WR,FA,4300,14,-82,1868,14
40,Chris Olave,WR,NO,4186,15,28,3354,14
41,Garrett Wilson,WR,NYJ,4169,16,-92,3295,14
42,Fernando Mendoza,QB,FA,4153,14,-188,3293,14
43,Kenneth Walker,RB,KC,4129,9,762,4053,14
44,Jordan Love,QB,GB,4092,15,-70,4759,14
45,Christian McCaffrey,RB,SF,4059,10,-78,5990,14
46,Dak Prescott,QB,DAL,3978,16,10,6074,15
47,Breece Hall,RB,NYJ,3970,11,34,3556,15
48,Ladd McConkey,WR,LAC,3935,17,79,2457,15
49,Rome Odunze,WR,CHI,3828,18,451,2090,15
50,TreVeyon Henderson,RB,NE,3761,12,-126,2589,15
51,Saquon Barkley,RB,PHI,3698,13,163,4895,16
52,Chase Brown,RB,CIN,3697,14,115,3653,16
53,Quinshon Judkins,RB,CLE,3654,15,-101,2015,16
